navn,nveNetbasID,spenning_kV,driftsattaar,eier,lat,lon
TOLLBODEN KOBLINGSSTASJON,,,,AGDER ENERGI NETT AS,58.14325389910002,7.993391193264616
EINARSDALEN TRANSFORMATORSTASJON,81031,,2018,FOSEN VIND DA,64.14820974066163,10.305003407157558
HARAHEIA TRANSFORMATORSTASJON,81032,,2018,FOSEN VIND DA,64.14750983895566,10.41098528423321
AO HANKAMMEN,,,1971,LOFOTKRAFT AS,68.1575784246796,14.209609371672183
STAULVIK,,,,RØDØY-LURØY KRAFTVERK AS,66.38876710023683,12.826858939371784
NIINGEN,80558,,1954,HÅLOGALAND KRAFT NETT AS,68.53700300658687,17.02819700165318
FALL TRSF.ST.,,,2005,ELVIA AS,60.64899575929026,10.362678744688992
ROLLAG-L1-T,81022,,1976,GLITRE ENERGI NETT AS,59.9846021808066,9.304839872318388
,,,,,58.95367914225967,5.672933085765432
MEDKILA TRANSFORMATORSTASJON,,,1980,HÅLOGALAND KRAFT NETT AS,68.77103729308588,16.545471920003727
TANGEN TRST,,,,ELVIA AS,60.62552823046203,11.293141926861555
SKOLLENBORG,77687,,1979,GLITRE ENERGI NETT AS,59.619137808951926,9.66810512537826
BORREGAARD 1,80662,,1973,BORREGAARD AS,59.27207027663761,11.116066600426553
AV RØRVIK,,,1986,LOFOTKRAFT AS,68.20578368830327,14.237835334129933
T_HOPSEIDET (M138),83559,,1958,NORDKYN KRAFTLAG SA,70.80382440247723,27.67961021428513
,,,,,58.78564594749712,5.737506894644282
,,,,,58.84403281117888,5.720298449689599
CL FINNBYEN,,,1987,LOFOTKRAFT AS,68.07378734291319,13.203906267319182
,,,,,58.773033885253625,5.85194911597645
,,,,,59.21440113024742,6.1213400654239685
LANGFJORD,80079,,1945,LINEA AS,65.37536094932405,12.700930343418962
LØPET KRV,,,,ELVIA AS,61.163794750278065,11.456849260626722
,,47,2019,MARKER VINDPARK AS,59.48657926061675,11.721601366972227
Litj-Hena transformatorstasjon,,132,2013,LITJ-HENA KRAFTVERK AS,63.05043999947123,11.484400000385179
null,,50,,ELKEM ASA,58.12837041916921,7.970957010144016
null,,110,,ELKEM ASA,58.12830884908525,7.970953340274727
null,,110,,ELKEM ASA,58.128190729518664,7.970947269127205
KLEVEN,,300,2000,ERAMET NORWAY AS AVD KVINESDAL,58.2788799988459,6.8901899994367275
,,132,,ELMEA AS,68.22507892973934,14.531991938026934
,,132,,ELMEA AS,68.32715728162225,14.654106039093781
,,132,,ELMEA AS,68.26234263937236,14.281954396539318
,,132,,ELMEA AS,68.1491678066282,13.637695036310692
,,33,,ELMEA AS,67.65751751224384,12.719112432499823
,,132,,ELMEA AS,68.0059456257928,13.161797143930064
,,,,EQUINOR ASA,59.2782059988095,5.505395999767888
,,,,EQUINOR ASA,59.27345999917263,5.550749999935507
,,,,EQUINOR ASA,59.273792233859226,5.5519986851141825
,,,,EQUINOR ASA,60.55039999879382,4.842549999705945
,,,,EQUINOR ASA,60.55359399900006,4.846625000646562
,,,,EQUINOR ASA,60.5524619996485,4.846474000643959
,,,,EQUINOR ASA,60.550452999280196,4.840734000048202
,,,,EQUINOR ASA,60.54975199951678,4.840797000042267
,,,,EQUINOR ASA,70.69054253155686,23.59427111398944
,,,,EQUINOR ASA,70.68384558417989,23.592098950583
,,,,EQUINOR ASA,60.80201110420221,5.025301896044083
,,,,EQUINOR ASA,60.80824994925281,5.037457888711468
,,,,EQUINOR ASA,60.62461999886993,4.852750000689335
,,,,EQUINOR ASA,63.41211999926254,8.699430000167137
Sekundærstasjon,,50,,STAVANGER STEEL AS,59.02081619746642,6.035242456032751
,,132,,TENSIO TN AS,64.70287078018873,12.833706461155973
,,132,,TENSIO TN AS,64.54371822662536,12.454827137121432
,,132,,TENSIO TN AS,64.60945725934161,12.57816843600162
,,132,,TENSIO TN AS,63.477393616104564,10.888371704871954
,,66,,TENSIO TN AS,64.69389983540168,13.638238720311813
,,66,,TENSIO TN AS,63.682961545062824,10.5854311510754
,,66,,TENSIO TN AS,64.88588486202185,11.266578380521306
,,66,,TENSIO TN AS,63.98644625872209,11.101702828599128
,,66,,TENSIO TN AS,63.769169483914844,11.684899877572644
,,66,,TENSIO TN AS,65.03672939952698,12.184921011245649
,,132,,TENSIO TN AS,63.46624844549334,10.942020224000798
,,66,,TENSIO TN AS,64.64772078561259,13.141344607191634
,,66,,TENSIO TN AS,64.80923428967863,11.464304762461243
,,66,,TENSIO TN AS,64.8051403789238,11.872210488178014
,,66,,TENSIO TN AS,64.90260361895034,11.717240308659743
,,66,,TENSIO TN AS,64.46633555452962,13.602631985986664
,,66,,TENSIO TN AS,64.5944790325136,12.25744890518018
,,66,,TENSIO TN AS,63.74423796634774,11.344776072681281
,,66,,TENSIO TN AS,63.60224070507518,10.843174555833492
,,66,,TENSIO TN AS,64.10806681779621,11.560300690043979
,,66,,TENSIO TN AS,64.08226523230152,11.222501088891109
,,66,,TENSIO TN AS,63.44872005497354,11.003502047371033
,,66,,TENSIO TN AS,63.48877647325417,10.908782736405085
,,66,,TENSIO TN AS,63.73996763399231,11.291698063291317
,,66,,TENSIO TN AS,63.68207252796229,11.180801022444486
,,66,,TENSIO TN AS,63.608548588840385,11.05204102433732
,,66,,TENSIO TN AS,63.96167336883668,11.46505366459226
,,66,,TENSIO TN AS,63.7838269101163,11.462904028741134
,,66,,TENSIO TN AS,63.7919379970635,11.490457017901921
,,66,,TENSIO TN AS,64.49853285141253,10.919403285049107
,,66,,TENSIO TN AS,64.67276328532567,11.302894967951746
,,66,,TENSIO TN AS,64.50737271460022,12.018365899628188
,,66,,TENSIO TN AS,64.4759310427732,11.50364728181004
,,66,,TENSIO TN AS,64.47295613934311,11.56501321358915
,,66,,TENSIO TN AS,64.26319579115071,12.281920771583193
,,66,,TENSIO TN AS,64.30567459415762,11.22388272841516
,,66,,TENSIO TN AS,64.02574013009972,11.498790782669616
,,66,,TENSIO TN AS,64.00961712363498,11.49656247682043
,,66,,TENSIO TN AS,63.862620276783574,11.403511191552088
,,66,,HALLINGDAL KRAFTNETT AS,60.606178900529464,9.067701106863918
,,66,,HALLINGDAL KRAFTNETT AS,60.502917978297155,7.8624820967710285
,,66,,HALLINGDAL KRAFTNETT AS,60.57704266473183,8.42212040657411
,,66,,HALLINGDAL KRAFTNETT AS,60.65057524513324,8.61390502703336
,,66,,HALLINGDAL KRAFTNETT AS,60.70401551491025,8.93424127703467
,,66,,HALLINGDAL KRAFTNETT AS,60.70328071828075,8.995074065041813
,,66,,HALLINGDAL KRAFTNETT AS,60.57402195082412,9.10380488686218
,,66,,HALLINGDAL KRAFTNETT AS,60.53400788693746,8.221992006375347
